date,airlines,flight_no,departure_airport,departure_time,arrival_city,arrival_time,distance,flight_duration,flight_duration_hours,flight_duration_minutes
2026/4/9,日本航空,JL25,东京羽田,16:35,北京首都,19:45,2113km,4 hr 10 min,4,10
2026/4/9,日本航空,JL116,大阪国际,12:40,东京羽田,13:55,403km,1 hr 15 min,1,15
2026/4/7,日本航空,JL2300,松山,11:10,大阪国际,12:00,273km,0 hr 50 min,0,50
2026/3/31,日本航空,JL221,东京羽田,07:20,大阪关西,08:35,450km,1 hr 15 min,1,15
2026/3/30,日本航空,JL20,北京首都,08:25,东京羽田,12:55,2113km,3 hr 30 min,3,30
2026/3/10,深圳航空,ZH9111,深圳宝安,14:05,北京首都,18:50,2077km,4 hr 45 min,4,45
2026/1/13,厦门航空,MF8171,福州长乐,14:00,北京大兴,17:00,1681km,3 hr 00 min,3,0
2026/1/8,南方航空,CZ8973,北京大兴,09:40,泉州晋江,12:20,1732km,2 hr 40 min,2,40
2025/12/10,东方航空,MU526,大阪关西,15:55,北京大兴,18:35,1763km,3 hr 40 min,3,40
2025/11/28,星悦航空,7G23,东京羽田,12:00,大阪关西,13:25,450km,1 hr 25 min,1,25
2025/11/27,全日空航空,NH964,北京首都,08:25,东京羽田,12:40,2113km,3 hr 15 min,3,15
2025/11/12,南方航空,CZ6214,北京大兴,10:45,大庆萨尔图,12:55,1100km,2 hr 10 min,2,10
2025/11/2,日本航空,JL25,东京羽田,17:00,北京首都,20:15,2113km,4 hr 15 min,4,15
2025/10/22,日本航空,JL20,北京首都,08:25,东京羽田,13:00,2113km,3 hr 35 min,3,35
2025/10/3,日本航空,JL25,东京羽田,16:40,北京首都,19:45,2113km,4 hr 05 min,4,5
2025/9/19,日本航空,JL20,北京首都,08:25,东京羽田,13:00,2113km,3 hr 35 min,3,35
2025/9/2,东方航空,MU2016,中国澳门,17:50,北京大兴,20:55,1950km,3 hr 05 min,3,5
2025/8/29,国泰航空,CX345,北京首都,07:25,香港国际,11:05,1993km,3 hr 40 min,3,40
2025/6/8,日本航空,JL25,东京羽田,16:40,北京首都,19:45,2113km,4 hr 05 min,4,5
2025/6/1,日本航空,JL20,北京首都,08:25,东京羽田,12:55,2113km,3 hr 30 min,3,30
2025/4/20,东方航空,MU5115,上海虹桥,15:00,北京首都,17:15,1178km,2 hr 15 min,2,15
2025/4/19,东方航空,MU5104,北京首都,09:00,上海虹桥,11:15,1178km,2 hr 15 min,2,15
2025/2/17,东方航空,MU526,大阪关西,15:55,北京大兴,18:35,1763km,3 hr 40 min,3,40
2025/2/15,东方航空,MU525,北京大兴,10:55,大阪关西,14:45,1763km,2 hr 50 min,2,50
2024/12/22,东方航空,MU790,东京羽田,16:40,北京大兴,20:05,2102km,4 hr 25 min,4,25
2024/12/20,东方航空,MU789,北京大兴,10:55,东京羽田,15:10,2103km,3 hr 15 min,3,15
2024/12/1,东方航空,MU5195,上海浦东,19:55,北京大兴,22:00,1178km,2 hr 05 min,2,5
2024/12/1,东方航空,MU226,大阪关西,13:10,上海浦东,15:10,1337km,3 hr 00 min,3,0
2024/11/23,东方航空,MU525,北京大兴,10:25,大阪关西,14:45,1763km,3 hr 20 min,3,20
2024/10/10,全日空航空,NH979,大阪关西,09:30,北京首都,12:05,1757km,3 hr 35 min,3,35
2024/10/4,全日空航空,NH23,东京羽田,12:00,大阪国际,13:05,403km,1 hr 05 min,1,5
2024/10/3,全日空航空,NH964,北京首都,08:20,东京羽田,12:50,2113km,3 hr 30 min,3,30
2024/8/26,中国国航,CA1958,惠州平潭,13:15,北京首都,16:40,2016km,3 hr 25 min,3,25
2024/8/23,海南航空,HU7382,北京首都,08:00,海口美兰,11:45,2550km,3 hr 45 min,3,45
2024/8/18,中国国航,CA1884,上海浦东,17:40,北京首都,20:20,1178km,2 hr 40 min,2,40
2024/6/12,东方航空,MU5161,上海浦东,15:30,北京首都,18:00,1178km,2 hr 30 min,2,30
2024/6/12,东方航空,MU230,名古屋中部国际,10:30,上海浦东,11:55,1478km,2 hr 25 min,2,25
2024/6/8,东方航空,MU229,上海浦东,18:25,名古屋中部国际,21:35,1458km,2 hr 10 min,2,10
2024/6/8,东方航空,MU5196,北京大兴,13:55,上海浦东,16:20,1178km,2 hr 25 min,2,25
2024/4/8,全日空航空,NH963,东京羽田,17:20,北京首都,20:15,2113km,3 hr 55 min,3,55
2024/4/3,全日空航空,NH962,北京首都,15:10,东京羽田,19:35,2113km,3 hr 25 min,3,25
2024/3/24,新加坡航空,SQ806,新加坡樟宜,16:55,北京首都,23:00,4491km,6 hr 05 min,6,5
2024/3/24,新加坡航空,SQ107,吉隆坡国际,11:05,新加坡樟宜,12:15,315km,1 hr 10 min,1,10
2024/3/22,新加坡航空,SQ106,新加坡樟宜,08:30,吉隆坡国际,09:30,315km,1 hr 00 min,1,0
2024/3/22,新加坡航空,SQ801,北京首都,00:10,新加坡樟宜,06:45,4491km,6 hr 35 min,6,35
2024/2/21,卡塔尔航空,QR892,多哈哈马德国际,02:05,北京大兴,14:45,6160km,7 hr 40 min,7,40
2024/2/20,卡塔尔航空,QR146,巴塞罗那埃尔普拉特,15:20,多哈哈马德国际,23:25,4860km,6 hr 05 min,6,5
2024/2/15,伊比利亚航空,IB8931,格拉纳达,09:50,马德里巴拉哈斯,11:00,371km,1 hr 10 min,1,10
2024/2/12,卡塔尔航空,QR149,多哈哈马德国际,08:15,马德里巴拉哈斯,13:55,5326km,7 hr 40 min,7,40
2024/2/12,卡塔尔航空,QR893,北京大兴,01:25,多哈哈马德国际,06:10,6160km,9 hr 45 min,9,45
2024/1/29,东方航空,MU526,大阪关西,15:55,北京大兴,18:05,1763km,3 hr 10 min,3,10
2024/1/27,国泰航空,CX566,香港国际,01:50,大阪关西,06:20,2491km,3 hr 30 min,3,30
2024/1/26,国泰航空,CX393,北京首都,18:35,香港国际,22:25,1993km,3 hr 50 min,3,50
2024/1/14,中国国航,CA1532,上海虹桥,14:25,北京首都,16:45,1178km,2 hr 20 min,2,20
2024/1/13,中国国航,CA1501,北京首都,08:30,上海虹桥,10:55,1178km,2 hr 25 min,2,25
2023/11/19,日本航空,JL25,东京羽田,17:20,北京首都,20:25,2113km,4 hr 05 min,4,5
2023/11/15,南方航空,CZ8029,北京大兴,10:30,大阪关西,14:15,1763km,2 hr 45 min,2,45
2023/10/4,沙特航空,SV886,利雅得,02:20,北京大兴,16:50,6598km,9 hr 30 min,9,30
